Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
PSYCHOLOGICAL BULLETIN	0033-2909	1939-1455	"PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	19.8	1	3/221	139
Cellular & Molecular Immunology	1672-7681	2042-0226	IMMUNOLOGY(SCIE)	19.8	1	5/183	140
Chem	2451-9294	2451-9294	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	19.6	1	12/239	141
Nature Microbiology	2058-5276	2058-5276	MICROBIOLOGY(SCIE)	19.4	1	4/163	142
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	1073-449X	1535-4970	CRITICAL CARE MEDICINE(SCIE);RESPIRATORY SYSTEM(SCIE)	19.4	1	4/108	143
ADVANCES IN COLLOID AND INTERFACE SCIENCE	0001-8686	1873-3727	"CHEMISTRY, PHYSICAL(SCIE)"	19.3	1	11/185	144
CLINICAL MICROBIOLOGY REVIEWS	0893-8512	1098-6618	MICROBIOLOGY(SCIE)	19.3	1	5/163	145
IEEE-CAA Journal of Automatica Sinica	2329-9266	2329-9274	AUTOMATION & CONTROL SYSTEMS(SCIE)	19.2	1	1/89	146
NATURE CELL BIOLOGY	1465-7392	1476-4679	CELL BIOLOGY(SCIE)	19.1	1	10/204	147
Annual Review of Physiology	0066-4278	1545-1585	PHYSIOLOGY(SCIE)	19.1	1	2/87	148
ADVANCED FUNCTIONAL MATERIALS	1616-301X	1616-3028	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)"	19	1	9/187	149
Annual Review of Marine Science	1941-1405	1941-0611	GEOCHEMISTRY & GEOPHYSICS(SCIE);MARINE & FRESHWATER BIOLOGY(SCIE);OCEANOGRAPHY(SCIE)	18.9	1	1/119	150
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE	0890-6955	1879-2170	"ENGINEERING, MANUFACTURING(SCIE);ENGINEERING, MECHANICAL(SCIE)"	18.8	1	2/182	151
Cell Host & Microbe	1931-3128	1934-6069	MICROBIOLOGY(SCIE);PARASITOLOGY(SCIE);VIROLOGY(SCIE)	18.7	1	1/47	152
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	0162-8828	1939-3539	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	18.6	1	3/366	153
Nature Physics	1745-2473	1745-2481	"PHYSICS, MULTIDISCIPLINARY(SCIE)"	18.4	1	5/114	154
Computational Visual Media	2096-0433	2096-0662	"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)"	18.3	1	1/128	155
ACS Energy Letters	2380-8195	2380-8195	"CHEMISTRY, PHYSICAL(SCIE);ELECTROCHEMISTRY(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)"	18.2	1	8/182	156
TRENDS IN CELL BIOLOGY	0962-8924	1879-3088	CELL BIOLOGY(SCIE)	18.1	1	11/204	157
JAMA Pediatrics	2168-6203	2168-6211	PEDIATRICS(SCIE)	18	1	1/191	158
Lancet Global Health	2214-109X	2214-109X	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	18	1	6/419	159
Nano Materials Science	2096-6482	2589-9651	"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)"	17.9	1	25/460	160
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS	0146-6410	1873-2224	"PHYSICS, NUCLEAR(SCIE);PHYSICS, PARTICLES & FIELDS(SCIE)"	17.9	1	45679	161
Chinese Journal of Catalysis	0253-9837	1872-2067	"CHEMISTRY, APPLIED(SCIE);CHEMISTRY, PHYSICAL(SCIE);ENGINEERING, CHEMICAL(SCIE)"	17.7	1	1/75	162
ACCOUNTS OF CHEMICAL RESEARCH	0001-4842	1520-4898	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	17.7	1	14/239	163
Psychological Science in the Public Interest	1529-1006	1539-6053	"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	17.6	1	4/221	164
